T,D,P
傷,상처,しょう/きず·いたむ·いためる
愚,어리석다,ぐ/おろか
騒,시끄럽다,そう/さわぐ
動,움직이다,どう/うごかす·うごく
冷,차갑다,れい/さます·さめる·つめたい·ひえる·ひや·ひやかす·ひやす
炊,밥을 짓다,すい/たく
方,방향,ほう/かた
体,몸,たい·てい/からだ
進,나아가다,しん/すすむ·すすめる
寝,자다,しん/ねかす·ねる
週,주(week),しゅう
多,많다,た/おおい
丈,길이,じょう/たけ
憶,기억하다,おく
電,전기,でん
当,"당연하다, 맡다",とう/あたる·あてる
合,합치다,かっ·がっ·ごう/あう·あわす·あわせる
係,"관계, 담당",けい/かかり·かかる
答,대답하다,とう/こたえ·こたえる
細,"가늘다, 세밀하다",さい/こまか·こまかい·ほそい·ほそる
抜,뽑다,ばつ/ぬかす·ぬか る·ぬく·ぬける
像,"모습, 형상",ぞう
定,정하다,じょう·てい/さだまる·さだめる·さだか
非,잘못,ひ
毎,매번,まい
緒,"시작, 실마리",しょ·ちょ/お
起,일어나다,き/おきる·おこす·おこる
説,설명하다,せつ·ぜい/とく
問,묻다,もん/と い·とう·とん
剰,남다,じょう
認,인정하다,にん/みとめる
気,"기분, 마음",き·け
未,아직,み
写,"쓰다, 복사하다",しゃ/うつす·うつる
女,여자,じょ·にょ·にょう/おんな·め
過,지나가다,か/すぎる·すごす·あやまち·あやまつ
光,빛,こう/ひかり·ひかる
刺,찌르다,し/ささる·さす
置,두다,ち/おく
克,이기다,こく
将,"장군, 장차",しょう
依,의지하다,い·え
失,잃다,しつ/うしなう
度,"정도, 횟수",ど·たく·と/たび
臓,내장,ぞう
声,소리,せい·しょう/こえ·こわ
批,비평하다,ひ
少,적다,しょう/すくない·すこし
確,확실하다,かく/たしか·たしかめる
薬,약,やく/くすり
程,"정도, 과정",てい/ほど
闇,어둠,やみ
含,포함하다,がん/ふくむ·ふくめる
固,굳다,こ/かた い·かたまる·かためる
札,"표, 팻말",さつ/ふだ
資,"자산, 자료",し
化,변화하다,か·け/ばかす·ばける
忙,바쁘다,ぼう/いそがしい
施,시행하다,し·せ/ほどこす
